Timestamp,Are you:,What is your job title?,How would you rate your level of expertise?,Where are you based?,Country of residence,What is your daily rate in USD ($)?,What is your daily rate in USD ($)?,Do you primarily work …,How do you normally bill for work?,How many hours a day do you normally work?,How many days per week do you normally work?,Where do you primarily work?,Do you use contracts?,Do you usually ask for a deposit up front?,What payment terms do you normally use?,Do you have/use an accountant?,Do you use any accounting software?
1/14/2015 19:13:13,Freelance,Illustrator,Intermediate,South America,Argentina,8,8,Direct with clients,"Time-based, hour rate",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",Payment within 7 days of completion,"No, I self-account",
1/19/2015 12:24:31,Freelance,Full Stack Web Developer,Intermediate,South America,Argentina,35,35,As a sub-contractor,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",
1/14/2015 11:45:02,A company (2 or more employees),IT Technician,Pro,Oceania,Australia,912,912,Direct with clients,"Time-based, hour rate",less than seven hours a day,less than four days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 13:10:52,A company (2 or more employees),Co-Director,Intermediate,Oceania,Australia,150,150,Direct with clients,Mixture of fixed and time based,less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",No
1/14/2015 11:37:41,Employed,creative lead,Intermediate,Oceania,Australia,225,225,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,less than four days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/28/2015 1:21:34,Employed,Senior Front End developer,Pro,Oceania,Australia,1580,1580,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 12:10:37,Freelance,whipping boy,Pro,Oceania,Australia,700,700,clean toliets,"Time-based, hour rate",more than 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/15/2015 1:36:53,Freelance,Graphic / Web Designer,Pro,Oceania,Australia,It varies per client - $48.40 - $60.50 p/hr (inc 10% gst),,Direct with clients,Sometimes hourly...sometimes fixed ,between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",self made database
1/15/2015 11:14:42,Freelance,Web design,Intermediate,Oceania,Australia,320,320,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 7 days of completion,"No, I self-account",zoho
1/16/2015 12:04:37,Freelance,User Experience Consultant,Pro,Oceania,Australia,900,900,Direct with clients,"Time-based, day rate",less than seven hours a day,five days per week,Client office,"Yes, drafted by lawyer",No,Payment within 7 days of completion,"Yes, I use a local accountant",
1/12/2015 15:26:33,Freelance,Full-Stack Developer,Pro,Europe,Austria,400,400,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,four days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/14/2015 11:26:43,Employed,Webdesigner and -developer,Intermediate,Europe,Belgium,88.5,88.5,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 7 days of completion,"Yes, I use a local accountant",
1/19/2015 11:15:20,Freelance,web designer,Beginner,Europe,Belgium,35 usd,35,Direct with clients,Value based,less than seven hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/19/2015 17:10:16,Freelance,ux designer and developer,Intermediate,Europe,Belgium,380,380,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template",No,Payment within 7 days of completion,"No, I self-account",
1/22/2015 10:12:38,Freelance,UI consultant,Pro,Europe,Belgium,835,835,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts",No,Payment greater than 28 days of completion,"Yes, I use a local accountant",harvest
1/13/2015 16:15:27,Freelance,F,Intermediate,Asia,Belize,33,33,As a sub-contractor,"Time-based, hour rate",less than seven hours a day,less than four days per week,Coffee shop or similar,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 7 days of completion,"Yes, I use a local accountant",
1/26/2015 13:28:47,A company (2 or more employees),,Pro,Europe,Bulgaria,200,200,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",yes
1/16/2015 11:12:13,Freelance,designer,Intermediate,Europe,Bulgaria,52,52,Direct with clients,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 7 days of completion,"No, I self-account",
1/27/2015 10:51:20,Freelance,Web designer,Pro,Europe,Bulgaria,225,225,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/12/2015 15:35:07,A company (2 or more employees),,Pro,North America,Canada,750,750,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",over 6-12 months,"Yes, I use a local accountant",
1/14/2015 21:30:12,A company (2 or more employees),developer,Pro,North America,Canada,80,80,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",At date indicated whether complete or not. ,"Yes, I use a local accountant",Freshbooks 
1/14/2015 14:18:12,Employed,Web Designer,Intermediate,North America,Canada,$150 - CAD,120,,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",,"Yes, I use a local accountant",
1/19/2015 11:40:58,Employed,Web Developer,Intermediate,North America,Canada,211.54,211.54,Direct with clients,"Time-based, hour rate",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/14/2015 17:02:43,Freelance,Front end web developer and graphic designer,Beginner,North America,Canada,400,400,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Coffee shop or similar,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",No
1/14/2015 20:49:58,Freelance,web designer,Beginner,North America,Canada,180,180,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 7 days of completion,"No, I self-account",
1/15/2015 8:02:00,Freelance,Graphic Designer,Pro,North America,Canada,500,500,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,more than five days per week,From home,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 28 days of completion,"No, I self-account",Billings
1/15/2015 14:58:02,Freelance,UX/UI Designer,Pro,North America,Canada,937.5,937.5,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,,,,,,Wave
1/26/2015 13:47:42,Freelance,Web designer & developer,Pro,North America,Canada,562.5,562.5,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment upon completion before release of files or site launch,"Yes, I use a local accountant",
1/16/2015 6:14:05,Freelance,web designer,Intermediate,North America,Costa Rica,30,30,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account","No, I don't"
1/19/2015 17:39:20,Freelance,Frontend developer,Intermediate,Europe,Croatia,40,40,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",On completion,"No, I self-account",
1/28/2015 6:41:16,Freelance,Web Developer,Intermediate,Europe,Croatia,180,180,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/21/2015 12:33:49,Freelance,Designer/web developer,Pro,Europe,Czech Republic,125,125,As a sub-contractor,Value based,less than seven hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",No
1/12/2015 15:38:15,A company (2 or more employees),lead front end developer,Pro,Europe,Denmark,153,153,Direct with clients,"Time-based, hour rate",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 12:06:39,Employed,Front-end developer,Pro,Europe,Denmark,26,26,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 7 days of completion,"No, I self-account",
1/26/2015 12:55:30,Employed,Front-end Developer,Intermediate,Europe,Denmark,230,230,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/14/2015 13:04:59,Freelance,"Graphic, Web and Motion Designer",Pro,Europe,Denmark,680,680,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/21/2015 14:59:30,Freelance,Web Designer,Intermediate,South America,Dominican Republic,150,150,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",Payment within 7 days of completion,"Yes, I use a local accountant",
1/19/2015 11:12:08,Freelance,Web Designer,Intermediate,Europe,Estonia,30,30,As a sub-contractor,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/14/2015 14:32:54,Freelance,Graphic designer,Pro,Europe,France,500,500,In conjunction with other freelancers/agencies,"Fixed rate, by project",less than seven hours a day,five days per week,Co-working space,"No, I don’t normally use contracts",No,Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/14/2015 11:19:17,A company (2 or more employees),designer,Pro,Europe,Germany,850,850,Direct with clients,"Time-based, day rate",between 9 and 11 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,within 10 days,"Yes, I use a local accountant",Grand Total
1/14/2015 11:39:59,Employed,Media Designer for digital and print,Pro,Europe,Germany,800,800,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/16/2015 9:15:52,Employed,UX Designer,Pro,Europe,Germany,125,125,Direct with clients,"Time-based, month rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",
1/12/2015 15:31:48,Freelance,Front-End Developer,Pro,Europe,Germany,787.5,787.5,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 11:50:48,Freelance,Freelancer ,Intermediate,Europe,Germany,500,500,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/14/2015 19:50:07,Freelance,Digital Designer,Intermediate,Europe,Germany,400,400,As a sub-contractor,Value based,between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/19/2015 10:21:48,Freelance,,Pro,Europe,Germany,670,670,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/19/2015 10:32:39,Freelance,Ui / Ux Designer,Intermediate,Europe,Germany,177,177,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,less than four days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",Easybill
1/19/2015 10:59:50,Freelance,Designer,Pro,Europe,Germany,500,500,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,four days per week,Co-working space,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",inFakt
1/19/2015 11:07:05,Freelance,Developer,Intermediate,Europe,Germany,185,185,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",easybill
1/19/2015 13:25:38,Freelance,Webdeveloper,Intermediate,Europe,Germany,708,708,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",GrandTotal
1/20/2015 15:14:16,Freelance,Graphic Designer,Pro,Europe,Germany,300,300,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/26/2015 12:44:37,Freelance,Interaction designer,Pro,Europe,Germany,309,309,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",
1/17/2015 8:59:55,A company (2 or more employees),,Pro,Europe,Greece,80,80,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 10:28:52,A company (2 or more employees),designer,Pro,Europe,Greece,15,15,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/19/2015 10:28:55,A company (2 or more employees),designer,Pro,Europe,Greece,15,15,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 11:33:09,Employed,Developer,Intermediate,Europe,Greece,60,60,In conjunction with other freelancers/agencies,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 13:13:36,Freelance,do-it-all...,Pro,Europe,Greece,250,250,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/15/2015 12:58:47,A company (2 or more employees),developer,Intermediate,Asia,India,20,20,Direct with clients,"Fixed rate, by project",less than seven hours a day,more than five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 7 days of completion,"Yes, I use an online service",
1/19/2015 12:22:26,Employed,front end developer ,Intermediate,Asia,India,20,20,Direct with clients,Value based,between 9 and 11 hours a day,five days per week,Co-working space,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",none
1/15/2015 7:37:39,Employed and Part Time Freelancer,Lead Designer and Front End Developer,Intermediate,Asia,India,50,50,Direct with clients,A Mix of all the above.,between 7 and 9 hours a day,more than five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"No, I self-account",
1/14/2015 23:07:18,Freelance,,Beginner,Asia,India,0,0,,,less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,,"No, I self-account",
1/15/2015 16:15:03,A company (2 or more employees),Web developer,Intermediate,Asia,Indonesia,$50,$50,Direct with clients,"Fixed rate, by project",,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 7 days of completion,"Yes, I use a local accountant",
1/28/2015 6:06:13,A company (2 or more employees),,Pro,Asia,Indonesia,120,120,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",no
1/15/2015 2:30:15,Employed,web designer,Intermediate,Asia,Indonesia,22,22,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,more than five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, fixed amount",Payment within 28 days of completion,"No, I self-account",
1/15/2015 13:52:34,Freelance,Web disigner,Intermediate,Asia,Iran,12,12,Direct with clients,"Fixed rate, by project",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts",No,Payment within 7 days of completion,"No, I self-account",
1/20/2015 16:47:15,Freelance,web designer and developer,Intermediate,Asia,Iran,100$,100$,In conjunction with other freelancers/agencies,"Fixed rate, by project",more than 11 hours a day,more than five days per week,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"No, I self-account",
1/14/2015 12:19:23,A company (2 or more employees),Graphic Designer,Pro,Europe,Ireland,700,700,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/20/2015 15:02:10,A company (2 or more employees),UX Architect,Pro,Europe,Ireland,767,767,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",Xero
1/12/2015 16:41:05,Employed,,Pro,Europe,Ireland,570,570,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",Freeagent
1/16/2015 19:31:51,Employed,Graphic Designer,Pro,Europe,Ireland,267,267,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts","Yes, fixed amount",Payment within 28 days of completion,"No, I self-account",no
1/19/2015 12:15:52,Employed,Web Developer,Beginner,Europe,Ireland,74.47,74.47,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 7 days of completion,"Yes, I use a local accountant",
1/14/2015 15:02:20,Freelance,,Pro,Europe,Ireland,500,500,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 21 days of completion,"Yes, I use a local accountant",Freeagent 
1/14/2015 21:10:56,Freelance,Web Developer,Intermediate,Europe,Ireland,400,400,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/27/2015 10:59:27,Freelance,Project Manager Digital Media,Pro,Europe,Ireland,325,325,All of the above,"Time-based, day rate",between 7 and 9 hours a day,five days per week,All of the above,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
1/12/2015 15:52:18,Employed,developer,Pro,Europe,Italy,270,270,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment greater than 28 days of completion,"Yes, I use a local accountant",
1/15/2015 16:39:52,Employed,Web Developer,Intermediate,Europe,Italy,25,25,As a sub-contractor,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer",No,Payment within 28 days of completion,"No, I self-account",
1/12/2015 15:30:33,Freelance,full stack web developer,Pro,Europe,Italy,450,450,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/14/2015 11:28:17,Freelance,Web Designer,Pro,Europe,Italy,100,100,Direct with clients,"Fixed rate, by project",between 9 and 11 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 7 days of completion,"No, I self-account",
1/15/2015 11:21:35,Freelance,web designer / front-end developer,Intermediate,Europe,Italy,"265,50",265.50,In conjunction with other freelancers/agencies,"Time-based, hour rate",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/23/2015 7:41:11,Employed,web developer,Intermediate,Europe,Latvia,75,75,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",
1/14/2015 14:33:08,Employed,UI Designer,Intermediate,Asia,Malaysia,70,70,As a sub-contractor,Value based,between 7 and 9 hours a day,five days per week,Co-working space,"Yes, adapted from a template","Yes, 10-20% of total estimate",Payment within 14 days of completion,"No, I self-account",
1/25/2015 13:45:11,Freelance,Designer,Intermediate,Asia,Malaysia,USD25,25,Direct with clients,"Fixed rate, by project",less than seven hours a day,,From home,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment upon low res submission,"No, I self-account",
1/20/2015 15:04:39,Employed,Web designer,Intermediate,North America,Mexico,38,38,Direct with clients,"Time-based, day rate",between 7 and 9 hours a day,,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",No
1/26/2015 16:28:53,Freelance,Engineer,Intermediate,South America,Mexico,$750,$750,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"Yes, adapted from a template","Yes, fixed amount",Payment within 14 days of completion,"No, I self-account",
1/25/2015 1:42:15,Freelance,logo designer,Intermediate,Africa,Morocco,1,1,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"No, I don’t normally use contracts","Yes, fixed amount",Payment within 7 days of completion,"No, I self-account",no
1/12/2015 15:25:18,Employed,Web developer,Intermediate,Europe,Netherlands,103.766338,103.766338,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, adapted from a template",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 10:27:59,Employed,Frontend Developer,Pro,Europe,Netherlands,650,650,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"Yes, drafted by lawyer","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",exact
1/19/2015 13:17:02,Employed,Front-end lead,Pro,Europe,Netherlands,800,800,As a sub-contractor,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/12/2015 15:27:12,Freelance,Freelance Developer,Intermediate,Europe,Netherlands,700,700,In conjunction with other freelancers/agencies,"Time-based, hour rate",between 7 and 9 hours a day,less than four days per week,Co-working space,"Yes, adapted from a template",No,Payment within 28 days of completion,"Yes, I use an online service",Moneybird
1/12/2015 15:28:48,Freelance,Creative Developer,Pro,Europe,Netherlands,500,500,In conjunction with other freelancers/agencies,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",Google Docs
1/12/2015 16:11:33,Freelance,Web Developer,Pro,Europe,Netherlands,663.75,663.75,As a sub-contractor,"Fixed rate, by project",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/14/2015 11:23:33,Freelance,,Intermediate,Europe,Netherlands,30,30,Direct with clients,"Time-based, hour rate",less than seven hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 7 days of completion,"No, I self-account",no
1/14/2015 15:33:16,Freelance,,Intermediate,Europe,Netherlands,663.75,663.75,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"No, I self-account",
1/14/2015 21:44:02,Freelance,designer,Pro,Europe,Netherlands,660,660,Direct with clients,"Time-based, hour rate",less than seven hours a day,five days per week,Dedicated office,"No, I don’t normally use contracts",No,Payment within 28 days of completion,"Yes, I use a local accountant",
1/15/2015 0:17:27,Freelance,Graphic designer (Student),Beginner,Europe,Netherlands,150,150,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,From home,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",No
1/16/2015 3:23:24,Freelance,Graphic Designer,Intermediate,Europe,Netherlands,265.5,265.5,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts","Yes, 10-20% of total estimate",Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 11:15:10,Freelance,Graphic designer ,Intermediate,Europe,Netherlands,350,350,Direct with clients,"Fixed rate, by project",less than seven hours a day,five days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 12:16:31,Freelance,interaction designer,Intermediate,Europe,Netherlands,620,620,Direct with clients,"Fixed rate, by project",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/19/2015 14:08:33,Freelance,Owner,Beginner,Europe,Netherlands,"607,50",607.50,As a sub-contractor,"Fixed rate, by project",less than seven hours a day,four days per week,From home,"Yes, adapted from a template",No,Payment within 14 days of completion,"No, I self-account",Paymo
1/27/2015 11:08:48,Freelance,Lead Developer,Pro,Europe,Netherlands,700,700,Direct with clients,"Fixed rate, by project",less than seven hours a day,less than four days per week,Co-working space,"Yes, adapted from a template","Yes, 20% or more of total estimate",Payment within 28 days of completion,"Yes, I use a local accountant",
1/27/2015 13:00:30,Freelance,Webdesigner,Pro,Europe,Netherlands,620,620,Direct with clients,"Time-based, hour rate",between 7 and 9 hours a day,four days per week,From home,"No, I don’t normally use contracts",No,Payment within 14 days of completion,"Yes, I use a local accountant",
1/16/2015 20:43:24,Employed,Owner/operator,Intermediate,Oceania,New Zealand,150,150,A combination of the above,"Time-based, hour rate",less than seven hours a day,more than five days per week,From home,"No, I don’t normally use contracts","Yes, 20% or more of total estimate",Payment within 14 days of completion,"No, I self-account",
